Comune Provincia Codice Latitudine Longitudine
Affi VR 1 45.555000 10.776944
Albaredod'Adige VR 2 45.319167 11.274444
Angiari VR 3 45.219167 11.284167
Arcole VR 4 45.358333 11.282500
BadiaCalavena VR 5 45.565000 11.157778
Bardolino VR 6 45.550556 10.723611
Belfiore VR 7 45.380556 11.209167
Bevilacqua VR 8 45.235000 11.396667
Bonavigo VR 9 45.258056 11.274722
BoschiSant'Anna VR 10 45.215833 11.348056
BoscoChiesanuova VR 11 45.623056 11.030278
Bovolone VR 12 45.258889 11.120556
BrentinoBelluno VR 13 45.656111 10.891667
Brenzone VR 14 45.708611 10.767778
Bussolengo VR 15 45.473889 10.851944
Buttapietra VR 16 45.343333 11.000000
Caldiero VR 17 45.411111 11.184722
CaprinoVeronese VR 18 45.606944 10.796389
Casaleone VR 19 45.172500 11.196944
Castagnaro VR 20 45.120278 11.409722
Casteld'Azzano VR 21 45.357222 10.958611
CastelnuovodelGarda VR 22 45.442222 10.761944
CavaionVeronese VR 23 45.542500 10.770556
CazzanodiTramigna VR 24 45.475000 11.205278
Cerea VR 25 45.196389 11.211944
CerroVeronese VR 26 45.575278 11.041944
ColognaVeneta VR 27 45.310833 11.383056
ColognolaaiColli VR 28 45.434167 11.192500
Concamarise VR 29 45.208889 11.139444
Costermano VR 30 45.588889 10.743333
Dolcè VR 31 45.601111 10.853333
Erbè VR 32 45.240833 10.970000
Erbezzo VR 33 45.641111 11.001111
FerraradiMonteBaldo VR 34 45.677778 10.854722
Fumane VR 35 45.544444 10.883611
Garda VR 36 45.576667 10.708611
GazzoVeronese VR 37 45.143056 11.104444
Grezzana VR 38 45.520833 11.018333
Illasi VR 39 45.469444 11.181667
IsoladellaScala VR 40 45.273611 11.006389
IsolaRizza VR 41 45.292500 11.199722
Lavagno VR 42 45.442500 11.131944
Lazise VR 43 45.506667 10.734444
Legnago VR 44 45.193333 11.310833
Malcesine VR 45 45.763611 10.809722
MaranodiValpolicella VR 46 45.558056 10.917778
MezzanediSotto VR 47 45.483333 11.127778
Minerbe VR 48 45.241389 11.339167
MontecchiadiCrosara VR 49 45.486389 11.254444
Monteforted'Alpone VR 50 45.423333 11.286389
Mozzecane VR 51 45.309722 10.818333
Negrar VR 52 45.532500 10.938611
Nogara VR 53 45.179722 11.061667
NogaroleRocca VR 54 45.293611 10.880000
Oppeano VR 55 45.307778 11.181389
Palù VR 56 45.325556 11.154444
Pastrengo VR 57 45.492778 10.802778
Pescantina VR 58 45.484167 10.868333
PeschieradelGarda VR 59 45.438889 10.694722
PoveglianoVeronese VR 60 45.347222 10.882222
Pressana VR 61 45.285833 11.402222
RivoliVeronese VR 62 45.572500 10.813333
Roncà VR 63 45.481389 11.291667
Roncoall'Adige VR 64 45.336944 11.248056
Roverchiara VR 65 45.273056 11.248333
RoveredodiGuà VR 66 45.274167 11.443333
RoverèVeronese VR 67 45.594167 11.066389
Salizzole VR 68 45.243889 11.084722
SanBonifacio VR 69 45.396944 11.271389
SanGiovanniIlarione VR 70 45.525556 11.237222
SanGiovanniLupatoto VR 71 45.384444 11.045556
Sanguinetto VR 72 45.182500 11.151667
SanMartinoBuonAlbergo VR 73 45.423611 11.094722
SanMaurodiSaline VR 74 45.566667 11.113611
SanPietrodiMorubio VR 75 45.243889 11.228611
SanPietroinCariano VR 76 45.515556 10.879167
Sant'AmbrogiodiValpolicella VR 77 45.525000 10.838333
Sant'Annad'Alfaedo VR 78 45.628333 10.952500
SanZenodiMontagna VR 79 45.640000 10.733333
SelvadiProgno VR 80 45.612500 11.139722
Soave VR 81 45.423056 11.248889
Sommacampagna VR 82 45.408056 10.845556
Sona VR 83 45.434444 10.833611
Sorgà VR 84 45.213889 10.979444
Terrazzo VR 85 45.175278 11.398056
TorridelBenaco VR 86 45.610278 10.687500
Tregnago VR 87 45.515000 11.167222
Trevenzuolo VR 88 45.269722 10.933611
ValeggiosulMincio VR 89 45.354722 10.736667
VeloVeronese VR 90 45.606111 11.096111
Verona VR 91 45.444444 10.998889
Veronella VR 92 45.321944 11.325000
Vestenanova VR 93 45.575278 11.227222
Vigasio VR 94 45.317500 10.941667
VillaBartolomea VR 95 45.158889 11.352222
VillafrancadiVerona VR 96 45.353333 10.846389
Zevio VR 97 45.377222 11.136389
Zimella VR 98 45.365278 11.341389
Agugliaro VI 99 45.32555556 11.58722222
Albettone VI 100 45.35861111 11.58555556
Alonte VI 101 45.36666667 11.42916667
AltavillaVicentina VI 102 45.50944444 11.47138889
Altissimo VI 103 45.61583333 11.25111111
Arcugnano VI 104 45.4975 11.5525
Arsiero VI 105 45.80416667 11.35166667
Arzignano VI 106 45.52166667 11.33388889
Asiago VI 107 45.87555556 11.50916667
AsiglianoVeneto VI 108 45.305 11.44666667
BarbaranoVicentino VI 109 45.41166667 11.54083333
BassanodelGrappa VI 110 45.76638889 11.73694444
BolzanoVicentino VI 111 45.60361111 11.62333333
Breganze VI 112 45.70888889 11.56305556
Brendola VI 113 45.4725 11.46027778
Bressanvido VI 114 45.645 11.63305556
Brogliano VI 115 45.58972222 11.36555556
Caldogno VI 116 45.61194444 11.50194444
Caltrano VI 117 45.77055556 11.465
Calvene VI 118 45.76611111 11.51222222
CamisanoVicentino VI 119 45.52416667 11.71416667
CampigliadeiBerici VI 120 45.33833333 11.54055556
CampolongosulBrenta VI 121 45.82944444 11.69972222
Carrè VI 122 45.74972222 11.46
Cartigliano VI 123 45.71472222 11.69833333
Cassola VI 124 45.73305556 11.79361111
Castegnero VI 125 45.43888889 11.6
Castelgomberto VI 126 45.58611111 11.395
Chiampo VI 127 45.54583333 11.27916667
Chiuppano VI 128 45.76416667 11.46472222
CismondelGrappa VI 129 45.92055556 11.73305556
CogollodelCengio VI 130 45.78944444 11.42083333
Conco VI 131 45.80166667 11.60916667
CornedoVicentino VI 132 45.61444444 11.345
Costabissara VI 133 45.58416667 11.48305556
Creazzo VI 134 45.53638889 11.47416667
Crespadoro VI 135 45.62083333 11.22611111
Dueville VI 136 45.63638889 11.54972222
Enego VI 137 45.94166667 11.70694444
FaraVicentino VI 138 45.74305556 11.5475
Foza VI 139 45.8975 11.63027778
Gallio VI 140 45.89194444 11.54722222
Gambellara VI 141 45.46305556 11.33777778
Gambugliano VI 142 45.58916667 11.43888889
Grancona VI 143 45.42444444 11.455
GrisignanodiZocco VI 144 45.47638889 11.70055556
GrumolodelleAbbadesse VI 145 45.5175 11.65916667
IsolaVicentina VI 146 45.63027778 11.44194444
Laghi VI 147 45.825 11.27305556
Lastebasse VI 148 45.91611111 11.27111111
Longare VI 149 45.48 11.60944444
Lonigo VI 150 45.38777778 11.38888889
LugodiVicenza VI 151 45.755 11.52305556
Lusiana VI 152 45.78583333 11.57444444
Malo VI 153 45.65777778 11.40583333
MaranoVicentino VI 154 45.69333333 11.43027778
Marostica VI 155 45.74805556 11.65611111
MasonVicentino VI 156 45.71944444 11.60888889
Molvena VI 157 45.735 11.61333333
MontebelloVicentino VI 158 45.45861111 11.38611111
MontecchioMaggiore VI 159 45.50638889 11.41027778
MontecchioPrecalcino VI 160 45.665 11.56055556
MontediMalo VI 161 45.66138889 11.36305556
Montegalda VI 162 45.44527778 11.67944444
Montegaldella VI 163 45.43666667 11.67527778
Monteviale VI 164 45.56166667 11.45833333
MonticelloConteOtto VI 165 45.59555556 11.58583333
MontorsoVicentino VI 166 45.49027778 11.36277778
Mossano VI 167 45.42083333 11.55527778
Mussolente VI 168 45.78416667 11.80361111
Nanto VI 169 45.42527778 11.59361111
NogaroleVicentino VI 170 45.56055556 11.28833333
Nove VI 171 45.72666667 11.67916667
NoventaVicentina VI 172 45.29138889 11.54
Orgiano VI 173 45.35222222 11.46638889
Pedemonte VI 174 45.91027778 11.30972222
Pianezze VI 175 45.74166667 11.6275
PioveneRocchette VI 176 45.76166667 11.43055556
PoianaMaggiore VI 177 45.29055556 11.50138889
Posina VI 178 45.79222222 11.26194444
PovedelGrappa VI 179 45.80166667 11.72888889
Pozzoleone VI 180 45.64972222 11.68
QuintoVicentino VI 181 45.57416667 11.62611111
RecoaroTerme VI 182 45.70638889 11.225
Roana VI 183 45.86555556 11.47416667
Romanod'Ezzelino VI 184 45.78 11.77083333
Rosà VI 185 45.72444444 11.76472222
RossanoVeneto VI 186 45.70694444 11.80333333
Rotzo VI 187 45.86583333 11.40138889
Salcedo VI 188 45.76027778 11.565
Sandrigo VI 189 45.66166667 11.60361111
SanGermanodeiBerici VI 190 45.40222222 11.47666667
SanNazario VI 191 45.84194444 11.69
SanPietroMussolino VI 192 45.58861111 11.25777778
Santorso VI 193 45.73916667 11.39027778
SanVitodiLeguzzano VI 194 45.68333333 11.37638889
Sarcedo VI 195 45.70944444 11.52722222
Sarego VI 196 45.40777778 11.4075
Schiavon VI 197 45.69861111 11.64472222
Schio VI 198 45.71527778 11.36166667
Solagna VI 199 45.81527778 11.72138889
Sossano VI 200 45.35888889 11.50972222
Sovizzo VI 201 45.52944444 11.4475
TezzesulBrenta VI 202 45.685 11.70361111
Thiene VI 203 45.70888889 11.47805556
TonezzadelCimone VI 204 45.85833333 11.34611111
Torrebelvicino VI 205 45.71888889 11.31138889
TorridiQuartesolo VI 206 45.52138889 11.61694444
Trissino VI 207 45.56888889 11.36972222
Valdagno VI 208 45.64722222 11.3
Valdastico VI 209 45.88583333 11.36361111
VallidelPasubio VI 210 45.74111111 11.26111111
