Comune Latitudine Longitudine Codice
AnnoneVeneto 45.797500 12.685833 384
CampagnaLupia 45.356944 12.098333 385
CampolongoMaggiore 45.333056 12.050278 386
Camponogara 45.385833 12.074167 387
Caorle 45.602500 12.888333 388
Cavarzere 45.136667 12.083889 389
Ceggia 45.686111 12.637778 390
Chioggia 45.220556 12.279444 391
CintoCaomaggiore 45.826111 12.786667 392
Cona 45.194444 12.041667 393
ConcordiaSagittaria 45.757222 12.845278 394
Dolo 45.425556 12.075556 395
Eraclea 45.578889 12.673056 396
Fiessod'Artico 45.419167 12.033611 397
FossaltadiPiave 45.648611 12.513889 398
FossaltadiPortogruaro 45.792222 12.909167 399
Fossò 45.388333 12.050278 400
Gruaro 45.831389 12.841111 401
Jesolo 45.540000 12.641389 402
Marcon 45.555556 12.299167 403
Martellago 45.548333 12.156667 404
Meolo 45.622500 12.451944 405
Mira 45.435000 12.122500 406
Mirano 45.494722 12.112500 407
MusilediPiave 45.623889 12.565000 408
Noale 45.551944 12.073056 409
NoventadiPiave 45.662778 12.530556 410
Pianiga 45.458056 12.031111 411
Portogruaro 45.777222 12.837222 412
Pramaggiore 45.814444 12.738611 413
Quartod'Altino 45.581944 12.370833 414
Salzano 45.522500 12.106944 415
SanDonàdiPiave 45.633889 12.565278 416
SanMichelealTagliamento 45.767222 12.994722 417
SantaMariadiSala 45.508333 12.036111 418
SantoStinodiLivenza 45.731944 12.681667 419
Scorzè 45.574444 12.109444 420
Spinea 45.491944 12.169444 421
Stra 45.411389 12.009167 422
TeglioVeneto 45.816389 12.886944 423
TorrediMosto 45.691389 12.710833 424
Venezia 45.438056 12.327500 425
Vigonovo 45.389167 12.008889 426
Cavallino-Treporti 45.465000 12.510000 581
Lido(A) 45.384122 12.348115 582
Pellestrina(A) 45.273243 12.301809 583
Murano(A) 45.458101 12.351548 584
Castello(A) 45.434707 12.352278 585
Bibione 45.648494 13.062642 586
