Comune Latitudine Longitudine Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10 PL11
AnnoneVeneto 45.797500 12.685833 384 13 13 13 14 13 13 13 0 13 0 13 0 0 0 0
CampagnaLupia 45.356944 12.098333 385 47 47 47 47 54 54 54 24 54 22 81 81 134 195 204
CampolongoMaggiore 45.333056 12.050278 386 0 0 0 0 0 0 0 0 0 0 0 0 7 7 7
Camponogara 45.385833 12.074167 387 0 0 0 0 0 0 0 0 0 8 10 18 18 18 18
Caorle 45.602500 12.888333 388 50169 49400 50580 49312 48966 52983 51672 51889 51672 52523 54581 60997 61001 58320 59612
Ceggia 45.686111 12.637778 390 8 8 8 8 8 17 17 17 17 8 17 17 41 33 33
CintoCaomaggiore 45.826111 12.786667 392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48
ConcordiaSagittaria 45.757222 12.845278 394 38 38 8 31 42 42 47 47 47 67 93 173 127 142 122
Dolo 45.425556 12.075556 395 148 148 150 162 178 204 226 200 226 271 288 326 373 356 358
Eraclea 45.578889 12.673056 396 9877 10134 9370 9374 9344 9512 9461 9346 9461 7596 12261 13934 14178 9229 9197
Fiessod'Artico 45.419167 12.033611 397 115 126 128 128 143 157 166 149 166 154 216 216 217 208 211
FossaltadiPiave 45.648611 12.513889 398 0 0 0 21 21 21 21 21 21 21 21 21 25 25 25
FossaltadiPortogruaro 45.792222 12.909167 399 10 10 23 23 23 23 33 33 33 35 42 52 50 46 51
Fossò 45.388333 12.050278 400 8 8 8 8 8 8 47 47 47 47 66 81 87 65 65
Gruaro 45.831389 12.841111 401 0 0 9 15 15 22 22 22 22 22 22 22 22 15 49
Jesolo 45.540000 12.641389 402 79329 78937 77844 79079 81459 82425 83985 84055 83985 88424 61635 70719 70613 63204 62322
Marcon 45.555556 12.299167 403 37 53 53 53 61 61 61 61 61 69 360 419 402 410 410
Martellago 45.548333 12.156667 404 0 0 0 0 6 6 6 6 6 18 47 189 215 178 178
Meolo 45.622500 12.451944 405 33 130 126 126 126 35 134 134 134 134 142 142 175 169 169
Mira 45.435000 12.122500 406 541 539 574 677 728 787 803 812 803 883 1030 1335 1127 1124 1162
Mirano 45.494722 12.112500 407 212 302 302 371 392 400 392 378 392 397 579 734 654 983 990
MusilediPiave 45.623889 12.565000 408 15 15 14 14 14 35 44 44 44 38 41 55 79 85 79
Noale 45.551944 12.073056 409 305 305 321 321 324 324 360 357 360 349 449 478 389 377 385
NoventadiPiave 45.662778 12.530556 410 56 56 56 81 185 303 303 336 303 330 409 618 625 796 796
Pianiga 45.458056 12.031111 411 0 0 0 0 0 0 103 103 103 166 181 187 194 192 201
Portogruaro 45.777222 12.837222 412 197 197 201 198 207 240 245 248 245 246 254 352 374 381 387
Pramaggiore 45.814444 12.738611 413 0 0 0 0 0 0 0 0 0 0 0 0 0 10 10
Quartod'Altino 45.581944 12.370833 414 137 295 295 310 310 310 316 623 316 629 656 651 649 649 703
Salzano 45.522500 12.106944 415 22 22 78 90 94 94 94 84 94 84 84 84 86 92 98
SanDonàdiPiave 45.633889 12.565278 416 421 444 454 432 476 440 440 440 440 466 459 480 413 398 400
SanMichelealTagliamento 45.767222 12.994722 417 62387 69201 70178 70426 70434 74852 76361 78439 76361 77525 73325 85561 85363 82472 85552
SantaMariadiSala 45.508333 12.036111 418 64 64 64 64 64 64 64 80 64 80 94 101 94 95 95
SantoStinodiLivenza 45.731944 12.681667 419 86 86 51 54 83 83 87 75 87 98 131 132 151 145 156
Scorzè 45.574444 12.109444 420 74 74 74 73 73 126 126 120 126 131 165 188 190 190 191
Spinea 45.491944 12.169444 421 46 46 46 54 54 63 74 80 74 90 113 161 119 119 123
Stra 45.411389 12.009167 422 96 96 96 96 96 96 96 181 96 292 299 297 304 296 296
TeglioVeneto 45.816389 12.886944 423 0 0 0 0 6 6 12 12 12 12 13 13 13 13 13
TorrediMosto 45.691389 12.710833 424 0 0 0 0 25 25 25 25 25 12 31 32 46 52 38
Venezia 45.438056 12.327500 425 92556 94751 95062 96503 99471 30507 32645 32208 32645 35915 41232 48501 46380 45443 45828
Vigonovo 45.389167 12.008889 426 12 20 29 30 34 41 37 30 37 21 51 77 81 81 81
Cavallino-Treporti 45.465000 12.510000 581 92556 94751 95062 96503 99471 71988 71552 71386 71552 70603 76388 75477 74623 72725 72664
Lido(A) 45.384122 12.348115 582 92556 94751 95062 96503 99471 30507 32645 32208 32645 35915 41232 48501 46380 45443 45828
Pellestrina(A) 45.273243 12.301809 583 92556 94751 95062 96503 99471 30507 32645 32208 32645 35915 41232 48501 46380 45443 45828
Murano(A) 45.458101 12.351548 584 92556 94751 95062 96503 99471 30507 32645 32208 32645 35915 41232 48501 46380 45443 45828
Castello(A) 45.434707 12.352278 585 92556 94751 95062 96503 99471 30507 32645 32208 32645 35915 41232 48501 46380 45443 45828
