Comune Codice Anno Popolazione TotaleCOM ResiduoCOM DifferenziataCOM TotalePC ResiduoPC DifferenziataPC CoeffDiff
AnnoneVeneto 384 1997 3385 1440280 1263900 176380 425.4889217 373.3825702 52.10635155 0.122462299
CampagnaLupia 385 1997 6241 1671930 1056350 615580 267.8945682 169.259734 98.63483416 0.368185271
CampolongoMaggiore 386 1997 8988 2427410 1183620 1243790 270.0723186 131.6889186 138.3834001 0.512393868
Camponogara 387 1997 10469 3607740 2936320 671420 344.6117108 280.4776005 64.13411023 0.186105429
Caorle 388 1997 11372 12895000 12790000 105000 1133.925431 1124.692227 9.233204362 0.008142691
Cavarzere 389 1997 16056 7006790 6575000 431790 436.3969856 409.5042352 26.89275037 0.06162451
Ceggia 390 1997 4978 1443000 1051740 391260 289.875452 211.2776215 78.59783045 0.271143451
Chioggia 391 1997 52471 38654400 37740500 913900 736.6812144 719.2639744 17.41724 0.023642845
CintoCaomaggiore 392 1997 3130 1281900 1181700 100200 409.5527157 377.5399361 32.01277955 0.078165223
Cona 393 1997 3293 1437650 1310120 127530 436.5775888 397.8499848 38.72760401 0.088707265
ConcordiaSagittaria 394 1997 10552 4307990 3968300 339690 408.2628886 376.070887 32.19200152 0.078851158
Dolo 395 1997 14465 6145460 3068200 3077260 424.8503284 212.1119945 212.7383339 0.50073713
Eraclea 396 1997 12437 7133750 6684000 449750 573.5908981 537.4286403 36.16225778 0.063045383
Fiessod'Artico 397 1997 5765 1853780 1171290 682490 321.5576756 203.1725932 118.3850824 0.36816127
FossaltadiPiave 398 1997 3850 1528270 1319620 208650 396.9532468 342.7584416 54.19480519 0.136526923
FossaltadiPortogruaro 399 1997 5751 2387810 2145700 242110 415.1990958 373.1003304 42.09876543 0.101394165
Fossò 400 1997 5643 2445600 1821800 623800 433.3864965 322.8424597 110.5440369 0.25507033
Gruaro 401 1997 2668 1098390 1001300 97090 411.6904048 375.2998501 36.39055472 0.088393012
Jesolo 402 1997 22729 31803900 30296600 1507300 1399.265256 1332.949096 66.31615997 0.047393559
Marcon 403 1997 11820 5193870 4392140 801730 439.4137056 371.5854484 67.82825719 0.154360814
Martellago 404 1997 18834 7740480 4213000 3527480 410.9843899 223.6911968 187.2931932 0.455718508
Meolo 405 1997 5770 1699780 1353600 346180 294.5892548 234.592721 59.9965338 0.20366165
Mira 406 1997 36123 14822300 12867800 1954500 410.3285995 356.2217977 54.10680176 0.131862127
Mirano 407 1997 26371 10974600 9330520 1644080 416.1616928 353.817451 62.34424178 0.149807738
MusilediPiave 408 1997 9867 4503430 3713690 789740 456.4132968 376.3747846 80.03851221 0.175364111
Noale 409 1997 14305 5952080 4634880 1317200 416.0838868 324.0041943 92.07969242 0.221300789
NoventadiPiave 410 1997 5812 2219060 2137700 81360 381.806607 367.8079835 13.99862354 0.036664173
Pianiga 411 1997 8937 3351310 2734900 616410 374.9927269 306.0199172 68.97280967 0.18393106
Portogruaro 412 1997 24461 10048800 9213400 835400 410.809043 376.6567189 34.15232411 0.083134305
Pramaggiore 413 1997 3750 1544130 1404500 139630 411.768 374.5333333 37.23466667 0.090426324
Quartod'Altino 414 1997 6989 2590110 2404640 185470 370.5980827 344.0606668 26.53741594 0.071606997
Salzano 415 1997 11446 4121190 3149260 971930 360.0550411 275.1406605 84.91438057 0.235837222
SanDonàdiPiave 416 1997 35345 18209900 17472000 737900 515.2044136 494.3273447 20.87706889 0.040521914
SanMichelealTagliamento 417 1997 11897 15193600 14931000 262600 1277.095066 1255.022275 22.07279146 0.017283593
SantaMariadiSala 418 1997 12466 5314140 4047920 1266220 426.2907107 324.7168298 101.573881 0.238273738
SantoStinodiLivenza 419 1997 11506 4680790 4305100 375690 406.8129671 374.1613071 32.65166 0.080262093
Scorzè 420 1997 16436 6038900 3646500 2392400 367.4190801 221.86055 145.5585301 0.396164864
Spinea 421 1997 25150 10107400 8436380 1671020 401.8846918 335.4425447 66.44214712 0.165326395
Stra 422 1997 6663 3025310 2368490 656820 454.0462254 355.469008 98.57721747 0.217108329
TeglioVeneto 423 1997 2012 862873 790900 71973 428.8633201 393.0914513 35.77186879 0.083410884
TorrediMosto 424 1997 4106 1387320 1327920 59400 337.8762786 323.4096444 14.46663419 0.042816365
Venezia 425 1997 293731 173940000 147973000 25967000 592.1744726 503.7704566 88.40401592 0.14928711
Vigonovo 426 1997 7767 3392640 2742070 650570 436.801854 353.0410712 83.7607828 0.19175922
Cavallino-Treporti 581 1997 NA NA NA NA 592.1744726 503.7704566 88.40401592 0.14928711
AnnoneVeneto 384 1998 3400 1459220 1256740 202480 429.1823529 369.6294118 59.55294118 0.138759063
CampagnaLupia 385 1998 6256 2165640 1154000 1011640 346.1700767 184.4629156 161.7071611 0.467132118
CampolongoMaggiore 386 1998 9007 2434740 1247000 1187740 270.3164206 138.4478739 131.8685467 0.487830323
Camponogara 387 1998 10582 2905200 1378000 1527200 274.5416745 130.2211302 144.3205443 0.525678094
Caorle 388 1998 11434 13360600 12267500 1093100 1168.497464 1072.896624 95.6008396 0.081815188
Cavarzere 389 1998 15926 7338930 6837540 501390 460.8143916 429.3319101 31.48248148 0.068319224
Ceggia 390 1998 4988 927601 543590 384011 185.9665196 108.9795509 76.98696872 0.413982952
Chioggia 391 1998 52252 40174000 39216000 958000 768.8509531 750.5167266 18.33422644 0.023846269
CintoCaomaggiore 392 1998 3140 1297100 1160640 136460 413.089172 369.6305732 43.45859873 0.105203916
Cona 393 1998 3270 1341370 1312220 29150 410.204893 401.2905199 8.914373089 0.021731513
ConcordiaSagittaria 394 1998 10562 4360770 3904040 456730 412.8735088 369.6307518 43.24275705 0.10473609
Dolo 395 1998 14482 5698100 3151000 2547100 393.4608479 217.5804447 175.8804033 0.447008652
Eraclea 396 1998 12477 6908560 6397110 511450 553.7036147 512.7121904 40.99142422 0.074031347
Fiessod'Artico 397 1998 5764 2137250 1381000 756250 370.7928522 239.5905621 131.2022901 0.353842555
FossaltadiPiave 398 1998 3864 1615290 1412950 202340 418.0357143 365.6702899 52.36542443 0.125265432
FossaltadiPortogruaro 399 1998 5800 2446730 2143860 302870 421.85 369.6310345 52.21896552 0.123785624
Fossò 400 1998 5745 1859370 704000 1155370 323.6501305 122.5413403 201.1087903 0.621377133
Gruaro 401 1998 2648 1109170 978782 130388 418.8708459 369.6306647 49.24018127 0.117554568
Jesolo 402 1998 22767 27729800 25999000 1730800 1217.982167 1141.959854 76.022313 0.062416606
Marcon 403 1998 11964 5545170 4463000 1082170 463.4879639 373.035774 90.4521899 0.195155424
Martellago 404 1998 18869 7415900 3733000 3682900 393.0202978 197.8377232 195.1825746 0.496622123
Meolo 405 1998 5788 1706220 1341760 364460 294.7857636 231.8175536 62.96821009 0.213606686
Mira 406 1998 36081 14929600 10076000 4853600 413.7801059 279.2605526 134.5195532 0.325099132
Mirano 407 1998 26331 10861300 7532000 3329300 412.4909802 286.0506627 126.4403175 0.306528684
