Comune Latitudine Longitudine Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10 PL11
AnnoneVeneto 45.797500 12.685833 384 0.013 0.013 0.013 0.014 0.013 0.013 0.013 0 0.013 0 0.013 0 0 0 0
CampagnaLupia 45.356944 12.098333 385 0.047 0.047 0.047 0.047 0.054 0.054 0.054 0.024 0.054 0.022 0.081 0.081 0.134 0.195 0.204
CampolongoMaggiore 45.333056 12.050278 386 0 0 0 0 0 0 0 0 0 0 0 0 0.007 0.007 0.007
Camponogara 45.385833 12.074167 387 0 0 0 0 0 0 0 0 0 0.008 0.01 0.018 0.018 0.018 0.018
Caorle 45.602500 12.888333 388 50.169 49.4 50.58 49.312 48.966 52.983 51.672 51.889 51.672 52.523 54.581 60.997 61.001 58.32 59.612
Ceggia 45.686111 12.637778 390 0.008 0.008 0.008 0.008 0.008 0.017 0.017 0.017 0.017 0.008 0.017 0.017 0.041 0.033 0.033
CintoCaomaggiore 45.826111 12.786667 392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.048
ConcordiaSagittaria 45.757222 12.845278 394 0.038 0.038 0.008 0.031 0.042 0.042 0.047 0.047 0.047 0.067 0.093 0.173 0.127 0.142 0.122
Dolo 45.425556 12.075556 395 0.148 0.148 0.15 0.162 0.178 0.204 0.226 0.2 0.226 0.271 0.288 0.326 0.373 0.356 0.358
Eraclea 45.578889 12.673056 396 9.877 10.134 9.37 9.374 9.344 9.512 9.461 9.346 9.461 7.596 12.261 13.934 14.178 9.229 9.197
Fiessod'Artico 45.419167 12.033611 397 0.115 0.126 0.128 0.128 0.143 0.157 0.166 0.149 0.166 0.154 0.216 0.216 0.217 0.208 0.211
FossaltadiPiave 45.648611 12.513889 398 0 0 0 0.021 0.021 0.021 0.021 0.021 0.021 0.021 0.021 0.021 0.025 0.025 0.025
FossaltadiPortogruaro 45.792222 12.909167 399 0.01 0.01 0.023 0.023 0.023 0.023 0.033 0.033 0.033 0.035 0.042 0.052 0.05 0.046 0.051
Fossò 45.388333 12.050278 400 0.008 0.008 0.008 0.008 0.008 0.008 0.047 0.047 0.047 0.047 0.066 0.081 0.087 0.065 0.065
Gruaro 45.831389 12.841111 401 0 0 0.009 0.015 0.015 0.022 0.022 0.022 0.022 0.022 0.022 0.022 0.022 0.015 0.049
Jesolo 45.540000 12.641389 402 79.329 78.937 77.844 79.079 81.459 82.425 83.985 84.055 83.985 88.424 61.635 70.719 70.613 63.204 62.322
Marcon 45.555556 12.299167 403 0.037 0.053 0.053 0.053 0.061 0.061 0.061 0.061 0.061 0.069 0.36 0.419 0.402 0.41 0.41
Martellago 45.548333 12.156667 404 0 0 0 0 0.006 0.006 0.006 0.006 0.006 0.018 0.047 0.189 0.215 0.178 0.178
Meolo 45.622500 12.451944 405 0.033 0.13 0.126 0.126 0.126 0.035 0.134 0.134 0.134 0.134 0.142 0.142 0.175 0.169 0.169
Mira 45.435000 12.122500 406 0.541 0.539 0.574 0.677 0.728 0.787 0.803 0.812 0.803 0.883 1.03 1.335 1.127 1.124 1.162
Mirano 45.494722 12.112500 407 0.212 0.302 0.302 0.371 0.392 0.4 0.392 0.378 0.392 0.397 0.579 0.734 0.654 0.983 0.99
MusilediPiave 45.623889 12.565000 408 0.015 0.015 0.014 0.014 0.014 0.035 0.044 0.044 0.044 0.038 0.041 0.055 0.079 0.085 0.079
Noale 45.551944 12.073056 409 0.305 0.305 0.321 0.321 0.324 0.324 0.36 0.357 0.36 0.349 0.449 0.478 0.389 0.377 0.385
NoventadiPiave 45.662778 12.530556 410 0.056 0.056 0.056 0.081 0.185 0.303 0.303 0.336 0.303 0.33 0.409 0.618 0.625 0.796 0.796
Pianiga 45.458056 12.031111 411 0 0 0 0 0 0 0.103 0.103 0.103 0.166 0.181 0.187 0.194 0.192 0.201
Portogruaro 45.777222 12.837222 412 0.197 0.197 0.201 0.198 0.207 0.24 0.245 0.248 0.245 0.246 0.254 0.352 0.374 0.381 0.387
Pramaggiore 45.814444 12.738611 413 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01
Quartod'Altino 45.581944 12.370833 414 0.137 0.295 0.295 0.31 0.31 0.31 0.316 0.623 0.316 0.629 0.656 0.651 0.649 0.649 0.703
Salzano 45.522500 12.106944 415 0.022 0.022 0.078 0.09 0.094 0.094 0.094 0.084 0.094 0.084 0.084 0.084 0.086 0.092 0.098
SanDonàdiPiave 45.633889 12.565278 416 0.421 0.444 0.454 0.432 0.476 0.44 0.44 0.44 0.44 0.466 0.459 0.48 0.413 0.398 0.4
SanMichelealTagliamento 45.767222 12.994722 417 62.387 69.201 70.178 70.426 70.434 74.852 76.361 78.439 76.361 77.525 73.325 85.561 85.363 82.472 85.552
SantaMariadiSala 45.508333 12.036111 418 0.064 0.064 0.064 0.064 0.064 0.064 0.064 0.08 0.064 0.08 0.094 0.101 0.094 0.095 0.095
SantoStinodiLivenza 45.731944 12.681667 419 0.086 0.086 0.051 0.054 0.083 0.083 0.087 0.075 0.087 0.098 0.131 0.132 0.151 0.145 0.156
Scorzè 45.574444 12.109444 420 0.074 0.074 0.074 0.073 0.073 0.126 0.126 0.12 0.126 0.131 0.165 0.188 0.19 0.19 0.191
Spinea 45.491944 12.169444 421 0.046 0.046 0.046 0.054 0.054 0.063 0.074 0.08 0.074 0.09 0.113 0.161 0.119 0.119 0.123
Stra 45.411389 12.009167 422 0.096 0.096 0.096 0.096 0.096 0.096 0.096 0.181 0.096 0.292 0.299 0.297 0.304 0.296 0.296
