Comune Codice Anno Popolazione TotaleCOM ResiduoCOM DifferenziataCOM TotalePC ResiduoPC DifferenziataPC CoeffDiff
AnnoneVeneto 384 1997 3.385 1.440.280 1.263.900 176.380 425.4889217 373.3825702 52.10635155 0.122462299
CampagnaLupia 385 1997 6.241 1.671.930 1.056.350 615.580 267.8945682 169.259734 98.63483416 0.368185271
CampolongoMaggiore 386 1997 8.988 2.427.410 1.183.620 1.243.790 270.0723186 131.6889186 138.3834001 0.512393868
Camponogara 387 1997 10.469 3.607.740 2.936.320 671.420 344.6117108 280.4776005 64.13411023 0.186105429
Caorle 388 1997 11.372 12.895.000 12.790.000 105.000 1133.925431 1124.692227 9.233204362 0.008142691
Ceggia 390 1997 4.978 1.443.000 1.051.740 391.260 289.875452 211.2776215 78.59783045 0.271143451
CintoCaomaggiore 392 1997 3.130 1.281.900 1.181.700 100.200 409.5527157 377.5399361 32.01277955 0.078165223
ConcordiaSagittaria 394 1997 10.552 4.307.990 3.968.300 339.690 408.2628886 376.070887 32.19200152 0.078851158
Dolo 395 1997 14.465 6.145.460 3.068.200 3.077.260 424.8503284 212.1119945 212.7383339 0.50073713
Eraclea 396 1997 12.437 7.133.750 6.684.000 449.750 573.5908981 537.4286403 36.16225778 0.063045383
Fiessod'Artico 397 1997 5.765 1.853.780 1.171.290 682.490 321.5576756 203.1725932 118.3850824 0.36816127
FossaltadiPiave 398 1997 3.850 1.528.270 1.319.620 208.650 396.9532468 342.7584416 54.19480519 0.136526923
FossaltadiPortogruaro 399 1997 5.751 2.387.810 2.145.700 242.110 415.1990958 373.1003304 42.09876543 0.101394165
Fossò 400 1997 5.643 2.445.600 1.821.800 623.800 433.3864965 322.8424597 110.5440369 0.25507033
Gruaro 401 1997 2.668 1.098.390 1.001.300 97.090 411.6904048 375.2998501 36.39055472 0.088393012
Jesolo 402 1997 22.729 31.803.900 30.296.600 1.507.300 1399.265256 1332.949096 66.31615997 0.047393559
Marcon 403 1997 11.820 5.193.870 4.392.140 801.730 439.4137056 371.5854484 67.82825719 0.154360814
Martellago 404 1997 18.834 7.740.480 4.213.000 3.527.480 410.9843899 223.6911968 187.2931932 0.455718508
Meolo 405 1997 5.770 1.699.780 1.353.600 346.180 294.5892548 234.592721 59.9965338 0.20366165
Mira 406 1997 36.123 14.822.300 12.867.800 1.954.500 410.3285995 356.2217977 54.10680176 0.131862127
Mirano 407 1997 26.371 10.974.600 9.330.520 1.644.080 416.1616928 353.817451 62.34424178 0.149807738
MusilediPiave 408 1997 9.867 4.503.430 3.713.690 789.740 456.4132968 376.3747846 80.03851221 0.175364111
Noale 409 1997 14.305 5.952.080 4.634.880 1.317.200 416.0838868 324.0041943 92.07969242 0.221300789
NoventadiPiave 410 1997 5.812 2.219.060 2.137.700 81.360 381.806607 367.8079835 13.99862354 0.036664173
Pianiga 411 1997 8.937 3.351.310 2.734.900 616.410 374.9927269 306.0199172 68.97280967 0.18393106
Portogruaro 412 1997 24.461 10.048.800 9.213.400 835.400 410.809043 376.6567189 34.15232411 0.083134305
Pramaggiore 413 1997 3.750 1.544.130 1.404.500 139.630 411.768 374.5333333 37.23466667 0.090426324
Quartod'Altino 414 1997 6.989 2.590.110 2.404.640 185.470 370.5980827 344.0606668 26.53741594 0.071606997
Salzano 415 1997 11.446 4.121.190 3.149.260 971.930 360.0550411 275.1406605 84.91438057 0.235837222
SanDonàdiPiave 416 1997 35.345 18.209.900 17.472.000 737.900 515.2044136 494.3273447 20.87706889 0.040521914
SanMichelealTagliamento 417 1997 11.897 15.193.600 14.931.000 262.600 1277.095066 1255.022275 22.07279146 0.017283593
SantaMariadiSala 418 1997 12.466 5.314.140 4.047.920 1.266.220 426.2907107 324.7168298 101.573881 0.238273738
SantoStinodiLivenza 419 1997 11.506 4.680.790 4.305.100 375.690 406.8129671 374.1613071 32.65166 0.080262093
Scorzè 420 1997 16.436 6.038.900 3.646.500 2.392.400 367.4190801 221.86055 145.5585301 0.396164864
Spinea 421 1997 25.150 10.107.400 8.436.380 1.671.020 401.8846918 335.4425447 66.44214712 0.165326395
Stra 422 1997 6.663 3.025.310 2.368.490 656.820 454.0462254 355.469008 98.57721747 0.217108329
TeglioVeneto 423 1997 2.012 862.873 790.900 71.973 428.8633201 393.0914513 35.77186879 0.083410884
TorrediMosto 424 1997 4.106 1.387.320 1.327.920 59.400 337.8762786 323.4096444 14.46663419 0.042816365
Venezia 425 1997 293.731 173.940.000 147.973.000 25.967.000 592.1744726 503.7704566 88.40401592 0.14928711
Vigonovo 426 1997 7.767 3.392.640 2.742.070 650.570 436.801854 353.0410712 83.7607828 0.19175922
Cavallino-Treporti 581 1997 NA NA NA NA 592.1744726 503.7704566 88.40401592 0.14928711
AnnoneVeneto 384 1998 3.400 1.459.220 1.256.740 202.480 429.1823529 369.6294118 59.55294118 0.138759063
CampagnaLupia 385 1998 6.256 2.165.640 1.154.000 1.011.640 346.1700767 184.4629156 161.7071611 0.467132118
CampolongoMaggiore 386 1998 9.007 2.434.740 1.247.000 1.187.740 270.3164206 138.4478739 131.8685467 0.487830323
Camponogara 387 1998 10.582 2.905.200 1.378.000 1.527.200 274.5416745 130.2211302 144.3205443 0.525678094
Caorle 388 1998 11.434 13.360.600 12.267.500 1.093.100 1168.497464 1072.896624 95.6008396 0.081815188
Ceggia 390 1998 4.988 927.601 543.590 384.011 185.9665196 108.9795509 76.98696872 0.413982952
CintoCaomaggiore 392 1998 3.140 1.297.100 1.160.640 136.460 413.089172 369.6305732 43.45859873 0.105203916
ConcordiaSagittaria 394 1998 10.562 4.360.770 3.904.040 456.730 412.8735088 369.6307518 43.24275705 0.10473609
Dolo 395 1998 14.482 5.698.100 3.151.000 2.547.100 393.4608479 217.5804447 175.8804033 0.447008652
Eraclea 396 1998 12.477 6.908.560 6.397.110 511.450 553.7036147 512.7121904 40.99142422 0.074031347
Fiessod'Artico 397 1998 5.764 2.137.250 1.381.000 756.250 370.7928522 239.5905621 131.2022901 0.353842555
FossaltadiPiave 398 1998 3.864 1.615.290 1.412.950 202.340 418.0357143 365.6702899 52.36542443 0.125265432
FossaltadiPortogruaro 399 1998 5.800 2.446.730 2.143.860 302.870 421.85 369.6310345 52.21896552 0.123785624
Fossò 400 1998 5.745 1.859.370 704.000 1.155.370 323.6501305 122.5413403 201.1087903 0.621377133
Gruaro 401 1998 2.648 1.109.170 978.782 130.388 418.8708459 369.6306647 49.24018127 0.117554568
Jesolo 402 1998 22.767 27.729.800 25.999.000 1.730.800 1217.982167 1141.959854 76.022313 0.062416606
Marcon 403 1998 11.964 5.545.170 4.463.000 1.082.170 463.4879639 373.035774 90.4521899 0.195155424
Martellago 404 1998 18.869 7.415.900 3.733.000 3.682.900 393.0202978 197.8377232 195.1825746 0.496622123
Meolo 405 1998 5.788 1.706.220 1.341.760 364.460 294.7857636 231.8175536 62.96821009 0.213606686
