Comune Latitudine Longitudine Codice
Affi 45.555000 10.776944 1
Albaredod'Adige 45.319167 11.274444 2
Angiari 45.219167 11.284167 3
Arcole 45.358333 11.282500 4
BadiaCalavena 45.565000 11.157778 5
Bardolino 45.550556 10.723611 6
Belfiore 45.380556 11.209167 7
Bevilacqua 45.235000 11.396667 8
Bonavigo 45.258056 11.274722 9
BoschiSant'Anna 45.215833 11.348056 10
BoscoChiesanuova 45.623056 11.030278 11
Bovolone 45.258889 11.120556 12
BrentinoBelluno 45.656111 10.891667 13
Brenzone 45.708611 10.767778 14
Bussolengo 45.473889 10.851944 15
Buttapietra 45.343333 11.000000 16
Caldiero 45.411111 11.184722 17
CaprinoVeronese 45.606944 10.796389 18
Casaleone 45.172500 11.196944 19
Castagnaro 45.120278 11.409722 20
Casteld'Azzano 45.357222 10.958611 21
CastelnuovodelGarda 45.442222 10.761944 22
CavaionVeronese 45.542500 10.770556 23
CazzanodiTramigna 45.475000 11.205278 24
Cerea 45.196389 11.211944 25
CerroVeronese 45.575278 11.041944 26
ColognaVeneta 45.310833 11.383056 27
ColognolaaiColli 45.434167 11.192500 28
Concamarise 45.208889 11.139444 29
Costermano 45.588889 10.743333 30
Dolcè 45.601111 10.853333 31
Erbè 45.240833 10.970000 32
Erbezzo 45.641111 11.001111 33
FerraradiMonteBaldo 45.677778 10.854722 34
Fumane 45.544444 10.883611 35
Garda 45.576667 10.708611 36
GazzoVeronese 45.143056 11.104444 37
Grezzana 45.520833 11.018333 38
Illasi 45.469444 11.181667 39
IsoladellaScala 45.273611 11.006389 40
IsolaRizza 45.292500 11.199722 41
Lavagno 45.442500 11.131944 42
Lazise 45.506667 10.734444 43
Legnago 45.193333 11.310833 44
Malcesine 45.763611 10.809722 45
MaranodiValpolicella 45.558056 10.917778 46
MezzanediSotto 45.483333 11.127778 47
Minerbe 45.241389 11.339167 48
MontecchiadiCrosara 45.486389 11.254444 49
Monteforted'Alpone 45.423333 11.286389 50
Mozzecane 45.309722 10.818333 51
Negrar 45.532500 10.938611 52
Nogara 45.179722 11.061667 53
NogaroleRocca 45.293611 10.880000 54
Oppeano 45.307778 11.181389 55
Palù 45.325556 11.154444 56
Pastrengo 45.492778 10.802778 57
Pescantina 45.484167 10.868333 58
PeschieradelGarda 45.438889 10.694722 59
PoveglianoVeronese 45.347222 10.882222 60
Pressana 45.285833 11.402222 61
RivoliVeronese 45.572500 10.813333 62
Roncà 45.481389 11.291667 63
Roncoall'Adige 45.336944 11.248056 64
Roverchiara 45.273056 11.248333 65
RoveredodiGuà 45.274167 11.443333 66
RoverèVeronese 45.594167 11.066389 67
Salizzole 45.243889 11.084722 68
SanBonifacio 45.396944 11.271389 69
SanGiovanniIlarione 45.525556 11.237222 70
SanGiovanniLupatoto 45.384444 11.045556 71
Sanguinetto 45.182500 11.151667 72
SanMartinoBuonAlbergo 45.423611 11.094722 73
SanMaurodiSaline 45.566667 11.113611 74
SanPietrodiMorubio 45.243889 11.228611 75
SanPietroinCariano 45.515556 10.879167 76
Sant'AmbrogiodiValpolicella 45.525000 10.838333 77
Sant'Annad'Alfaedo 45.628333 10.952500 78
SanZenodiMontagna 45.640000 10.733333 79
SelvadiProgno 45.612500 11.139722 80
Soave 45.423056 11.248889 81
Sommacampagna 45.408056 10.845556 82
Sona 45.434444 10.833611 83
Sorgà 45.213889 10.979444 84
Terrazzo 45.175278 11.398056 85
TorridelBenaco 45.610278 10.687500 86
Tregnago 45.515000 11.167222 87
Trevenzuolo 45.269722 10.933611 88
ValeggiosulMincio 45.354722 10.736667 89
VeloVeronese 45.606111 11.096111 90
Verona 45.444444 10.998889 91
Veronella 45.321944 11.325000 92
Vestenanova 45.575278 11.227222 93
Vigasio 45.317500 10.941667 94
VillaBartolomea 45.158889 11.352222 95
VillafrancadiVerona 45.353333 10.846389 96
Zevio 45.377222 11.136389 97
Zimella 45.365278 11.341389 98
Agugliaro 45.32555556 11.58722222 99
Albettone 45.35861111 11.58555556 100
Alonte 45.36666667 11.42916667 101
AltavillaVicentina 45.50944444 11.47138889 102
Altissimo 45.61583333 11.25111111 103
Arcugnano 45.4975 11.5525 104
Arsiero 45.80416667 11.35166667 105
Arzignano 45.52166667 11.33388889 106
Asiago 45.87555556 11.50916667 107
AsiglianoVeneto 45.305 11.44666667 108
BarbaranoVicentino 45.41166667 11.54083333 109
BassanodelGrappa 45.76638889 11.73694444 110
BolzanoVicentino 45.60361111 11.62333333 111
Breganze 45.70888889 11.56305556 112
Brendola 45.4725 11.46027778 113
Bressanvido 45.645 11.63305556 114
Brogliano 45.58972222 11.36555556 115
Caldogno 45.61194444 11.50194444 116
Caltrano 45.77055556 11.465 117
Calvene 45.76611111 11.51222222 118
CamisanoVicentino 45.52416667 11.71416667 119
CampigliadeiBerici 45.33833333 11.54055556 120
CampolongosulBrenta 45.82944444 11.69972222 121
Carrè 45.74972222 11.46 122
Cartigliano 45.71472222 11.69833333 123
Cassola 45.73305556 11.79361111 124
Castegnero 45.43888889 11.6 125
Castelgomberto 45.58611111 11.395 126
Chiampo 45.54583333 11.27916667 127
Chiuppano 45.76416667 11.46472222 128
CismondelGrappa 45.92055556 11.73305556 129
CogollodelCengio 45.78944444 11.42083333 130
Conco 45.80166667 11.60916667 131
CornedoVicentino 45.61444444 11.345 132
Costabissara 45.58416667 11.48305556 133
Creazzo 45.53638889 11.47416667 134
Crespadoro 45.62083333 11.22611111 135
Dueville 45.63638889 11.54972222 136
Enego 45.94166667 11.70694444 137
FaraVicentino 45.74305556 11.5475 138
Foza 45.8975 11.63027778 139
Gallio 45.89194444 11.54722222 140
Gambellara 45.46305556 11.33777778 141
Gambugliano 45.58916667 11.43888889 142
Grancona 45.42444444 11.455 143
GrisignanodiZocco 45.47638889 11.70055556 144
GrumolodelleAbbadesse 45.5175 11.65916667 145
IsolaVicentina 45.63027778 11.44194444 146
Laghi 45.825 11.27305556 147
Lastebasse 45.91611111 11.27111111 148
Longare 45.48 11.60944444 149
Lonigo 45.38777778 11.38888889 150
LugodiVicenza 45.755 11.52305556 151
Lusiana 45.78583333 11.57444444 152
Malo 45.65777778 11.40583333 153
MaranoVicentino 45.69333333 11.43027778 154
Marostica 45.74805556 11.65611111 155
MasonVicentino 45.71944444 11.60888889 156
Molvena 45.735 11.61333333 157
MontebelloVicentino 45.45861111 11.38611111 158
MontecchioMaggiore 45.50638889 11.41027778 159
MontecchioPrecalcino 45.665 11.56055556 160
MontediMalo 45.66138889 11.36305556 161
Montegalda 45.44527778 11.67944444 162
Montegaldella 45.43666667 11.67527778 163
Monteviale 45.56166667 11.45833333 164
MonticelloConteOtto 45.59555556 11.58583333 165
