Comune Latitudine Longitudine Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10 PL11
Affi 45.555000 10.776944 1 0.052325581 0.081930415 0.222282609 0.258575198 0.247443763 0.236489836 0.229756098 0.228996639 0.220815752 0.228623685 0.221175415 0.188962472 0.204282655 0.236663844 0.239502999
Albaredod'Adige 45.319167 11.274444 2 0 0.001998801 0.00477327 0.004757185 0.004776119 0.004808656 0.004749654 0.004671078 0.004612723 0.004576659 0.004497751 0.005982427 0.007121439 0.005270092 0.005270092
Angiari 45.219167 11.284167 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Arcole 45.358333 11.282500 4 0 0 0 0 0 0 0 0 0 0.000670466 0.001316656 0.001290947 0.001284728 0.001279386 0.000638876
BadiaCalavena 45.565000 11.157778 5 0.023725835 0.023498695 0.023047375 0.020092089 0.020313161 0.011705686 0.011575031 0.010158472 0.011142061 0.008527132 0.008805513 0.008725341 0.01793722 0.017196262 0.029479326
Bardolino 45.550556 10.723611 6 2.325252197 2.347987118 2.3125893 2.392546976 2.413782203 2.405630701 2.315525615 2.286027913 2.319522913 2.37203125 1.836923077 2.129149065 2.129464286 2.162814815 2.153621921
Belfiore 45.380556 11.209167 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Bevilacqua 45.235000 11.396667 8 0 0 0 0 0 0 0 0 0 0 0 0 0.007629428 0.007506702 0.007679649
Bonavigo 45.258056 11.274722 9 0 0 0 0 0 0 0 0.004522613 0 0.007602636 0.008121827 0.00810537 0.008064516 0.003482587 0.007374631
BoschiSant'Anna 45.215833 11.348056 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BoscoChiesanuova 45.623056 11.030278 11 0.706320908 0.669250646 0.663581232 0.995245642 0.954332186 0.825176978 0.450496539 0.305965741 0.431163594 1.904546738 0.541101578 0.490405702 0.467904944 1.784329784 1.800874078
Bovolone 45.258889 11.120556 12 0.008992806 0.009240688 0.009112915 0.008602633 0.008541295 0.008499002 0.008378041 0.008181427 0.007978723 0.012284174 0.011865524 0.011585994 0.011094909 0.010983493 0.010932034
BrentinoBelluno 45.656111 10.891667 13 0.031587057 0.031660232 0.031084155 0.031417625 0.030604438 0.04587156 0.045112782 0.045011253 0.044477391 0.044020543 0.113978495 0.113006397 0.122405154 0.112288136 0.116946779
Brenzone 45.708611 10.767778 14 1.839516465 1.899916597 1.825145712 1.852684145 1.876210526 1.842696629 1.654190399 1.73095429 1.595135347 1.826344937 1.748717949 1.802699484 1.763394603 1.80133753 1.824128476
Bussolengo 45.473889 10.851944 15 0.063414324 0.073652991 0.073452129 0.072230472 0.072621428 0.069446828 0.066552145 0.068925873 0.064611577 0.065666737 0.065623213 0.074643757 0.076223562 0.076841036 0.078554556
Buttapietra 45.343333 11.000000 16 0.00879373 0.012192869 0.011781507 0.011642265 0.011367551 0.011588848 0.007994779 0.007909605 0.007686275 0.00750268 0.008083832 0.008346756 0.008742532 0.007749713 0.008038358
Caldiero 45.411111 11.184722 17 0.020500282 0.020147874 0.024199418 0.023724581 0.023481638 0.022883689 0.022349185 0.02497519 0.02130386 0.02263215 0.023279499 0.022660512 0.019613148 0.020034496 0.020476931
CaprinoVeronese 45.606944 10.796389 18 0.062250928 0.064498497 0.063291139 0.071591061 0.066435432 0.068287498 0.06485493 0.068172914 0.064072633 0.053532364 0.081033618 0.075768758 0.079287631 0.081328612 0.083676934
Casaleone 45.172500 11.196944 19 0 0 0 0 0 0 0 0 0 0 0.000493502 0.000490838 0.000496689 0.001324284 0.001323408
Castagnaro 45.120278 11.409722 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Casteld'Azzano 45.357222 10.958611 21 0.015384615 0.017173848 0.017079505 0.019407862 0.019142494 0.018838908 0.018290407 0.018106236 0.017654477 0.029097704 0.029172142 0.028512715 0.028039787 0.027723612 0.027611247
CastelnuovodelGarda 45.442222 10.761944 22 0.889874802 0.939866909 0.956677408 0.962611276 0.938527437 0.899698088 0.942454555 0.940128154 0.828322934 0.902884528 0.626675775 0.785338593 0.868541952 0.85990798 0.85276649
CavaionVeronese 45.542500 10.770556 23 0.045727724 0.042142676 0.092250923 0.091366906 0.091628688 0.086379511 0.073613987 0.062121552 0.069129402 0.063996697 0.097551264 0.082600382 0.126077182 0.08634944 0.086298932
CazzanodiTramigna 45.475000 11.205278 24 0 0 0 0 0 0 0 0 0 0.006258693 0.008837525 0.006012024 0.030900723 0.030342156 0.041507024
Cerea 45.196389 11.211944 25 0.004481306 0.004453307 0.004437968 0.004415157 0.003334641 0.003325725 0.003319016 0.003296064 0.003274899 0.003245307 0.003558497 0.004258996 0.005102041 0.00507335 0.005064991
CerroVeronese 45.575278 11.041944 26 0.088579387 0.05308311 0.051914001 0.266296109 0.3010279 0.283681214 0.140525839 0.108619173 0.135135135 0.199139785 0.129018789 0.122633745 0.123507616 0.176755448 0.171881349
