Comune Latitudine Longitudine Codice
Affi 45.555 10.77694444 1
Albaredod'Adige 45.31916667 11.27444444 2
Angiari 45.21916667 11.28416667 3
Arcole 45.35833333 11.2825 4
BadiaCalavena 45.565 11.15777778 5
Bardolino 45.55055556 10.72361111 6
Belfiore 45.38055556 11.20916667 7
Bevilacqua 45.235 11.39666667 8
Bonavigo 45.25805556 11.27472222 9
BoschiSant'Anna 45.21583333 11.34805556 10
BoscoChiesanuova 45.62305556 11.03027778 11
Bovolone 45.25888889 11.12055556 12
BrentinoBelluno 45.65611111 10.89166667 13
Brenzone 45.70861111 10.76777778 14
Bussolengo 45.47388889 10.85194444 15
Buttapietra 45.34333333 11 16
Caldiero 45.41111111 11.18472222 17
CaprinoVeronese 45.60694444 10.79638889 18
Casaleone 45.1725 11.19694444 19
Castagnaro 45.12027778 11.40972222 20
Casteld'Azzano 45.35722222 10.95861111 21
CastelnuovodelGarda 45.44222222 10.76194444 22
CavaionVeronese 45.5425 10.77055556 23
CazzanodiTramigna 45.475 11.20527778 24
Cerea 45.19638889 11.21194444 25
CerroVeronese 45.57527778 11.04194444 26
ColognaVeneta 45.31083333 11.38305556 27
ColognolaaiColli 45.43416667 11.1925 28
Concamarise 45.20888889 11.13944444 29
Costermano 45.58888889 10.74333333 30
Dolcè 45.60111111 10.85333333 31
Erbè 45.24083333 10.97 32
Erbezzo 45.64111111 11.00111111 33
FerraradiMonteBaldo 45.67777778 10.85472222 34
Fumane 45.54444444 10.88361111 35
Garda 45.57666667 10.70861111 36
GazzoVeronese 45.14305556 11.10444444 37
Grezzana 45.52083333 11.01833333 38
Illasi 45.46944444 11.18166667 39
IsoladellaScala 45.27361111 11.00638889 40
IsolaRizza 45.2925 11.19972222 41
Lavagno 45.4425 11.13194444 42
Lazise 45.50666667 10.73444444 43
Legnago 45.19333333 11.31083333 44
Malcesine 45.76361111 10.80972222 45
MaranodiValpolicella 45.55805556 10.91777778 46
MezzanediSotto 45.48333333 11.12777778 47
Minerbe 45.24138889 11.33916667 48
MontecchiadiCrosara 45.48638889 11.25444444 49
Monteforted'Alpone 45.42333333 11.28638889 50
Mozzecane 45.30972222 10.81833333 51
Negrar 45.5325 10.93861111 52
Nogara 45.17972222 11.06166667 53
