"Vertex1" "Vertex2" "Vertex3"
355 352 304
359 257 360
10 187 183
184 183 187
184 186 185
186 184 187
401 346 394
258 361 276
10 183 182
285 369 335
180 179 411
1 364 390
31 400 389
179 178 411
181 6 182
181 180 6
180 411 6
312 360 310
177 411 178
6 10 182
336 147 368
395 401 403
365 323 391
411 176 406
10 189 188
10 6 189
148 334 84
331 232 341
3 318 194
146 86 335
322 1 418
20 207 319
374 245 343
2 194 193
190 189 6
261 187 10
161 262 192
191 6 411
162 161 163
317 160 327
159 193 277
14 264 39
137 106 280
18 51 275
7 215 270
193 159 156
164 161 192
8 167 314
6 191 190
157 159 158
192 406 165
353 385 398
406 174 165
5 226 367
371 392 354
166 174 173
164 163 161
302 296 244
243 292 121
166 165 174
192 165 164
232 331 257
173 172 166
175 174 406
172 171 169
357 310 358
262 161 317
8 259 169
167 8 315
166 169 259
253 112 308
402 385 399
8 169 168
376 298 373
3 263 318
166 172 169
124 376 373
325 350 245
246 343 300
122 372 381
348 380 299
240 118 295
324 9 50
125 244 296
126 120 248
120 126 243
302 121 247
22 211 268
310 357 312
124 346 376
249 127 242
111 309 45
241 118 250
254 309 111
10 316 261
344 129 294
344 375 130
378 246 300
241 250 128
347 378 349
323 365 278
242 119 249
251 379 306
233 337 288
169 171 170
287 330 291
276 388 326
116 354 130
195 43 196
195 3 17
14 43 17
196 43 197
264 197 39
39 197 43
14 39 43
264 14 198
195 17 43
20 319 362
193 156 2
2 3 194
38 23 154
2 156 4
17 4 12
17 3 4
14 12 28
23 12 4
4 156 23
17 12 14
154 23 156
4 3 2
156 159 157
24 12 23
199 198 28
305 371 351
198 14 28
199 28 35
200 35 201
35 200 199
201 26 202
26 201 35
26 35 32
297 380 348
35 28 24
351 397 305
32 24 38
37 26 32
24 28 12
32 38 21
202 37 265
202 26 37
203 21 204
21 203 37
37 32 21
31 389 363
38 205 21
32 35 24
38 24 23
46 349 381
121 292 247
333 101 370
236 255 110
48 311 256
327 262 317
38 154 151
153 152 154
119 128 249
127 120 242
143 145 144
341 291 331
44 68 228
120 127 248
154 152 151
235 290 340
27 213 269
131 387 132
3 195 263
282 62 415
86 146 142
142 42 86
141 42 142
145 142 146
125 299 244
114 252 307
142 145 143
238 253 308
233 288 338
358 85 357
254 237 135
150 149 83
206 412 150
278 366 323
205 204 21
206 83 82
205 412 206
83 206 150
266 206 20
361 258 313
38 412 205
312 359 360
255 236 136
147 336 85
334 148 330
44 73 229
206 82 20
20 81 207
82 81 20
89 289 100
366 278 328
133 113 239
148 84 328
209 80 231
233 338 285
87 86 42
154 156 155
355 251 306
283 370 339
295 345 240
349 378 300
112 253 303
7 270 321
102 311 48
307 356 115
67 74 230
252 113 133
239 112 133
42 141 140
31 267 320
128 119 241
134 253 238
45 293 111
134 45 309
74 227 75
140 311 102
256 139 105
256 103 48
36 216 271
281 224 49
102 48 103
10 188 316
303 133 112
50 220 324
140 88 42
88 87 42
88 140 101
88 101 333
238 293 134
8 314 259
292 243 126
20 362 266
90 47 91
369 146 335
89 47 90
89 234 289
31 207 81
388 83 326
118 129 250
37 203 265
99 47 89
92 47 93
92 91 47
391 258 365
95 94 93
95 93 47
1 390 272
47 99 98
89 100 99
101 140 102
73 228 284
237 254 111
114 113 252
135 110 255
110 135 237
136 236 109
34 279 223
256 104 103
104 256 105
340 137 280
138 105 139
40 52 222
159 277 160
18 275 221
276 361 388
106 137 109
109 137 136
257 359 232
383 351 379
5 332 282
106 109 107
380 297 122
296 302 247
109 108 107
337 233 286
34 56 329
105 138 290
8 260 315
69 68 70
49 225 281
297 372 122
134 293 45
97 96 47
339 234 283
95 47 96
34 329 279
129 240 294
68 72 71
105 290 235
70 68 71
47 98 97
228 73 44
68 44 72
284 230 73
80 267 31
8 168 260
67 227 74
75 66 19
330 287 334
227 66 75
118 240 129
370 283 333
229 72 44
230 284 67
234 339 289
130 375 116
49 60 225
347 349 46
65 19 66
80 209 267
207 31 363
209 231 79
160 277 327
5 367 332
207 363 208
22 210 209
268 210 22
209 79 22
31 81 80
76 19 408
307 115 114
76 75 19
408 77 76
22 78 15
30 219 273
7 408 407
