Comune Latitudine Longitudine Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10 PL11
AnnoneVeneto 45.797500 12.685833 384 0.003840473 0.003823529 0.003768116 0.004039238 0.003715347 0.003656821 0.003565551 0 0.003429174 0 0.003302846 0 0 0 0
CampagnaLupia 45.356944 12.098333 385 0.007530844 0.007512788 0.007518797 0.007544141 0.008595989 0.008436182 0.008300031 0.003660769 0.008056094 0.003240536 0.011804139 0.011723838 0.01918946 0.027889016 0.02896493
CampolongoMaggiore 45.333056 12.050278 386 0 0 0 0 0 0 0 0 0 0 0 0 0.000687825 0.000679612 0.000673077
Camponogara 45.385833 12.074167 387 0 0 0 0 0 0 0 0 0 0.000656707 0.000809323 0.001428912 0.001413317 0.001389103 0.001375936
Caorle 45.602500 12.888333 388 4.411625044 4.320447787 4.430623686 4.285763949 4.312285337 4.602814699 4.431560892 4.397000254 4.343644923 4.406661633 4.574721314 5.088595979 5.076647803 4.847074468 4.954454787
Ceggia 45.686111 12.637778 390 0.001607071 0.001603849 0.001586672 0.001569243 0.001568627 0.003288201 0.003215434 0.00314291 0.003087541 0.001408947 0.002882333 0.002792378 0.006611837 0.005266518 0.005224826
CintoCaomaggiore 45.826111 12.786667 392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014427412
ConcordiaSagittaria 45.757222 12.845278 394 0.003601213 0.003597803 0.000757504 0.002936718 0.004006869 0.003971256 0.004421033 0.004406112 0.004390062 0.006259927 0.00863109 0.016079561 0.011886934 0.013251213 0.011384845
Dolo 45.425556 12.075556 395 0.010231594 0.010219583 0.010327733 0.011155488 0.012343967 0.014160766 0.015528377 0.013717421 0.01540454 0.018505873 0.019472617 0.021731885 0.024738029 0.023439558 0.023435454
Eraclea 45.578889 12.673056 396 0.794162579 0.812214475 0.747924649 0.751181986 0.747998719 0.757143994 0.747255351 0.736195353 0.746194495 0.598628734 0.962250824 1.089530065 1.103861725 0.721071959 0.718571763
Fiessod'Artico 45.419167 12.033611 397 0.019947962 0.02185982 0.022264742 0.022264742 0.02472765 0.026210351 0.02614585 0.022623747 0.024943651 0.022848665 0.030883615 0.029739777 0.028914057 0.026714616 0.027092964
FossaltadiPiave 45.648611 12.513889 398 0 0 0 0.005344871 0.005230386 0.005111977 0.005016722 0.004968062 0.004955168 0.004955168 0.004966887 0.00490425 0.005886508 0.005921364 0.005871301
FossaltadiPortogruaro 45.792222 12.909167 399 0.001738828 0.001724138 0.003937682 0.003941731 0.003932969 0.003932296 0.005603668 0.005535055 0.005552751 0.00590518 0.007 0.008632138 0.008263097 0.007565789 0.008314314
Fossò 45.388333 12.050278 400 0.001417686 0.001392515 0.001371272 0.001347028 0.001350895 0.001339809 0.007818999 0.007672217 0.007523611 0.007409743 0.010108746 0.012215352 0.012915677 0.009539184 0.009380863
Gruaro 45.831389 12.841111 401 0 0 0.003382187 0.005569996 0.005578282 0.00818757 0.008142117 0.008067473 0.008017493 0.007982583 0.008020416 0.007896626 0.007793128 0.005298481 0.017296152
Jesolo 45.540000 12.641389 402 3.490210744 3.467167391 3.408380402 3.447811301 3.584712199 3.573286513 3.579160452 3.56542948 3.533829841 3.693104456 2.520962003 2.842974874 2.798549461 2.468809812 2.415581395
