Comune Provincia Codice Latitudine Longitudine PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10
Affi VR 1 45.555000 10.776944 90 146 409 490 484 471 465 477 471 500 493 418 461 537
Albaredod'Adige VR 2 45.319167 11.274444 0 10 24 24 24 24 24 24 24 24 24 24 24 10
Angiari VR 3 45.219167 11.284167 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Arcole VR 4 45.358333 11.282500 0 0 0 0 0 0 0 0 0 4 8 8 8 8
BadiaCalavena VR 5 45.565000 11.157778 44 44 44 48 48 28 28 25 28 22 23 23 48 46
Bardolino VR 6 45.550556 10.723611 14291 14581 14567 15152 15272 15289 14765 14578 14780 15181 11940 14021 14195 14474
Belfiore VR 7 45.380556 11.209167 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Bevilacqua VR 8 45.235000 11.396667 0 0 0 0 0 0 0 0 0 0 0 0 14 14
Bonavigo VR 9 45.258056 11.274722 0 0 0 0 0 0 0 9 0 15 16 16 16 7
BoschiSant'Anna VR 10 45.215833 11.348056 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BoscoChiesanuova VR 11 45.623056 11.030278 2169 2062 2069 3140 3051 1693 1491 1036 1497 6744 1955 1783 1707 6530
Bovolone VR 12 45.258889 11.120556 125 129 128 115 115 115 114 114 114 180 180 180 175 175
BrentinoBelluno VR 13 45.656111 10.891667 41 41 41 41 40 60 60 60 60 60 159 159 171 159
Brenzone VR 14 45.708611 10.767778 4413 4556 4384 4452 4456 4422 4066 4317 4066 4617 4433 4523 4484 4550
Bussolengo VR 15 45.473889 10.851944 997 1192 1216 1216 1235 1214 1195 1259 1201 1239 1262 1398 1428 1443
Buttapietra VR 16 45.343333 11.000000 46 66 66 66 66 66 46 49 49 49 54 46 49 52
Caldiero VR 17 45.411111 11.184722 109 109 133 133 133 133 133 151 133 146 160 156 139 151
CaprinoVeronese VR 18 45.606944 10.796389 453 472 465 535 498 508 488 522 494 416 646 543 553 547
Casaleone VR 19 45.172500 11.196944 0 0 0 0 0 0 0 0 0 0 3 0 0 0
Castagnaro VR 20 45.120278 11.409722 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Casteld'Azzano VR 21 45.357222 10.958611 151 171 171 196 196 196 196 196 196 327 333 327 327 327
CastelnuovodelGarda VR 22 45.442222 10.761944 7321 7768 8016 8110 8107 8046 8762 9390 8762 9985 7339 9518 10728 10792
CavaionVeronese VR 23 45.542500 10.770556 175 166 375 381 382 371 308 277 320 310 490 394 625 422
CazzanodiTramigna VR 24 45.475000 11.205278 0 0 0 0 0 0 0 0 0 9 13 9 47 47
Cerea VR 25 45.196389 11.211944 67 67 67 67 51 51 51 51 51 51 57 62 73 73
CerroVeronese VR 26 45.575278 11.041944 149 89 89 527 615 310 310 247 310 463 309 298 300 438
ColognaVeneta VR 27 45.310833 11.383056 34 37 37 37 41 41 41 41 41 42 42 42 42 42
ColognolaaiColli VR 28 45.434167 11.192500 40 40 40 40 40 40 40 28 50 22 45 46 46 49
Concamarise VR 29 45.208889 11.139444 0 0 0 0 0 0 0 0 0 0 8 8 8 8
Costermano VR 30 45.588889 10.743333 1093 1152 1146 1154 1177 1290 1311 1424 1311 1511 1597 1602 1466 1473
Dolcè VR 31 45.601111 10.853333 37 37 37 37 42 42 42 42 42 42 24 24 40 66
Erbè VR 32 45.240833 10.970000 0 0 0 0 0 0 6 6 6 6 6 6 16 6
Erbezzo VR 33 45.641111 11.001111 182 157 123 323 341 327 327 219 331 235 149 44 44 127
FerraradiMonteBaldo VR 34 45.677778 10.854722 251 311 311 311 311 311 273 273 273 237 269 248 278 272
Fumane VR 35 45.544444 10.883611 125 133 133 143 146 143 234 190 237 306 289 267 275 250
Garda VR 36 45.576667 10.708611 5509 5550 5343 5433 5434 5408 5276 4990 5276 5076 5087 4930 4899 4873
GazzoVeronese VR 37 45.143056 11.104444 0 0 0 0 0 18 18 18 18 0 18 18 18 32
Grezzana VR 38 45.520833 11.018333 187 187 179 211 260 244 345 370 365 269 386 235 235 184
Illasi VR 39 45.469444 11.181667 0 0 8 8 30 26 37 37 41 72 81 69 84 84
IsoladellaScala VR 40 45.273611 11.006389 66 66 72 75 69 85 79 79 79 72 112 104 116 138
IsolaRizza VR 41 45.292500 11.199722 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lavagno VR 42 45.442500 11.131944 0 0 0 0 0 0 0 5 5 9 27 6 6 0
Lazise VR 43 45.506667 10.734444 21284 21461 21677 21914 21961 22128 25655 25647 25667 22484 21034 26080 27537 28243
Legnago VR 44 45.193333 11.310833 230 230 230 234 234 234 240 300 246 331 353 281 291 305
Malcesine VR 45 45.763611 10.809722 8428 8176 8205 8491 8595 8460 8520 8457 8533 8574 8544 9131 9113 9032
MaranodiValpolicella VR 46 45.558056 10.917778 0 0 0 0 0 0 0 1 0 12 22 10 10 28
MezzanediSotto VR 47 45.483333 11.127778 0 11 11 11 11 11 11 8 11 10 22 22 41 39
Minerbe VR 48 45.241389 11.339167 19 12 12 13 13 13 20 7 20 0 14 7 7 7
MontecchiadiCrosara VR 49 45.486389 11.254444 19 19 19 19 19 19 19 17 19 17 25 17 18 18
