Comune Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10
Affi 1 90 146 409 490 484 477 471 477 471 500 493 428 477 559
Albaredod'Adige 2 0 10 24 24 24 24 24 24 24 24 24 32 38 28
Angiari 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Arcole 4 0 0 0 0 0 0 0 0 0 4 8 8 8 8
BadiaCalavena 5 54 54 54 48 48 28 28 25 28 22 23 23 48 46
Bardolino 6 14291 14581 14567 15152 15272 15295 14780 14578 14780 15181 11940 14112 14310 14599
Belfiore 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Bevilacqua 8 0 0 0 0 0 0 0 0 0 0 0 0 14 14
Bonavigo 9 0 0 0 0 0 0 0 9 0 15 16 16 16 7
BoschiSant'Anna 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BoscoChiesanuova 11 2179 2072 2079 3140 3051 2681 1497 1036 1497 6744 1955 1789 1713 6536
Bovolone 12 125 129 128 115 115 115 114 114 114 180 180 180 175 175
BrentinoBelluno 13 41 41 41 41 40 60 60 60 60 60 159 159 171 159
Brenzone 14 4413 4556 4384 4452 4456 4428 4066 4317 4066 4617 4433 4541 4509 4579
Bussolengo 15 997 1192 1216 1216 1235 1214 1201 1259 1201 1239 1262 1451 1492 1513
Buttapietra 16 46 66 66 66 66 69 49 49 49 49 54 57 60 54
Caldiero 17 109 109 133 133 133 133 133 151 133 146 160 162 145 151
CaprinoVeronese 18 453 472 465 535 498 514 494 522 494 416 646 616 650 666
Casaleone 19 0 0 0 0 0 0 0 0 0 0 3 3 3 8
Castagnaro 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Casteld'Azzano 21 151 171 171 196 196 196 196 196 196 327 333 333 327 327
CastelnuovodelGarda 22 7321 7768 8016 8110 8107 8046 8762 9390 8762 9985 7339 9556 10776 10840
CavaionVeronese 23 175 166 375 381 382 371 320 277 320 310 490 432 673 470
CazzanodiTramigna 24 0 0 0 0 0 0 0 0 0 9 13 9 47 47
