Comune Latitudine Longitudine Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10 PL11
Affi 45.555000 10.776944 1 90 146 409 490 484 477 471 477 471 500 493 428 477 559 559
Albaredod'Adige 45.319167 11.274444 2 0 10 24 24 24 24 24 24 24 24 24 32 38 28 28
Angiari 45.219167 11.284167 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Arcole 45.358333 11.282500 4 0 0 0 0 0 0 0 0 0 4 8 8 8 8 4
BadiaCalavena 45.565000 11.157778 5 54 54 54 48 48 28 28 25 28 22 23 23 48 46 77
Bardolino 45.550556 10.723611 6 14291 14581 14567 15152 15272 15295 14780 14578 14780 15181 11940 14112 14310 14599 14776
Belfiore 45.380556 11.209167 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Bevilacqua 45.235000 11.396667 8 0 0 0 0 0 0 0 0 0 0 0 0 14 14 14
Bonavigo 45.258056 11.274722 9 0 0 0 0 0 0 0 9 0 15 16 16 16 7 15
BoschiSant'Anna 45.215833 11.348056 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BoscoChiesanuova 45.623056 11.030278 11 2179 2072 2079 3140 3051 2681 1497 1036 1497 6744 1955 1789 1713 6536 6593
Bovolone 45.258889 11.120556 12 125 129 128 115 115 115 114 114 114 180 180 180 175 175 175
BrentinoBelluno 45.656111 10.891667 13 41 41 41 41 40 60 60 60 60 60 159 159 171 159 167
Brenzone 45.708611 10.767778 14 4413 4556 4384 4452 4456 4428 4066 4317 4066 4617 4433 4541 4509 4579 4657
Bussolengo 45.473889 10.851944 15 997 1192 1216 1216 1235 1214 1201 1259 1201 1239 1262 1451 1492 1513 1563
Buttapietra 45.343333 11.000000 16 46 66 66 66 66 69 49 49 49 49 54 57 60 54 57
Caldiero 45.411111 11.184722 17 109 109 133 133 133 133 133 151 133 146 160 162 145 151 158
CaprinoVeronese 45.606944 10.796389 18 453 472 465 535 498 514 494 522 494 416 646 616 650 666 690
Casaleone 45.172500 11.196944 19 0 0 0 0 0 0 0 0 0 0 3 3 3 8 8
Castagnaro 45.120278 11.409722 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Casteld'Azzano 45.357222 10.958611 21 151 171 171 196 196 196 196 196 196 327 333 333 327 327 327
CastelnuovodelGarda 45.442222 10.761944 22 7321 7768 8016 8110 8107 8046 8762 9390 8762 9985 7339 9556 10776 10840 10912
CavaionVeronese 45.542500 10.770556 23 175 166 375 381 382 371 320 277 320 310 490 432 673 470 485
CazzanodiTramigna 45.475000 11.205278 24 0 0 0 0 0 0 0 0 0 9 13 9 47 47 65
Cerea 45.196389 11.211944 25 67 67 67 67 51 51 51 51 51 51 57 69 83 83 83
CerroVeronese 45.575278 11.041944 26 159 99 99 527 615 598 310 247 310 463 309 298 300 438 423
ColognaVeneta 45.310833 11.383056 27 34 37 37 37 41 41 41 41 41 42 42 42 42 42 42
ColognolaaiColli 45.434167 11.192500 28 40 40 40 40 40 50 50 28 50 22 45 64 68 72 76
Concamarise 45.208889 11.139444 29 0 0 0 0 0 0 0 0 0 0 8 8 8 8 8
Costermano 45.588889 10.743333 30 1093 1152 1146 1154 1177 1307 1311 1424 1311 1511 1597 1612 1476 1495 1611
Dolcè 45.601111 10.853333 31 47 47 47 37 42 42 42 42 42 42 24 24 43 69 69
Erbè 45.240833 10.970000 32 0 0 0 0 0 0 6 6 6 6 6 6 16 6 6
Erbezzo 45.641111 11.001111 33 192 167 133 323 341 342 331 219 331 235 149 55 55 138 152
FerraradiMonteBaldo 45.677778 10.854722 34 251 311 311 311 311 311 273 273 273 237 269 248 278 272 272
Fumane 45.544444 10.883611 35 135 143 143 143 146 146 237 190 237 306 289 280 302 288 305
Garda 45.576667 10.708611 36 5509 5550 5343 5433 5434 5419 5276 4990 5276 5076 5087 4944 4913 4887 4932
GazzoVeronese 45.143056 11.104444 37 0 0 0 0 0 18 18 18 18 0 18 18 18 32 32
Grezzana 45.520833 11.018333 38 197 197 189 211 260 264 365 370 365 269 386 265 258 203 255
Illasi 45.469444 11.181667 39 0 0 8 8 30 30 41 37 41 72 81 82 97 97 97
