Comune Provincia Codice Latitudine Longitudine 97ALB 97ALBPL 97CMP 97CMPPL 98ALB 98ALBPL P8CMP 98CMPPL 99ALB 99ALBPL 99CMP 99CMPPL 00ALB 00ALBPL 00CMP 00CMPPL 01ALB 01ALBPL 01CMP 01CMPPL 02ALB 02ALBPL 02CMP 02CMPPL 03ALB 03ALBPL 03CMP 03CMPPL 04ALB 04ALBPL 04CMP 04CMPPL 05ALB 05ALBPL 05CMP 05CMPPL 06ALB 06ALBPL 06CMP 06CMPPL 07ALB 07ALBPL 07CMP 07CMPPL 08ALB 08ALBPL 08CMP 08CMPPL 09ALB 09ALBPL 09CMP 09CMPPL 10ALB 10ALBPL 10CMP 10CMPPL
Affi VR 1 45.555000 10.776944 1 20 3 70 2 24 3 122 2 281 4 128 3 362 4 128 3 362 3 122 3 380 4 91 3 380 3 85 3 380 5 97 3 380 4 91 3 380 7 120 3 364 12 129 3 364 8 54 3 364 10 97 3 364 12 173
Albaredod'Adige VR 2 45.319167 11.274444 0 0 0 0 0 0 1 10 0 0 2 24 0 0 2 24 0 0 2 24 0 0 2 24 0 0 2 24 0 0 2 24 0 0 2 24 0 0 2 24 0 0 2 24 0 0 2 24 0 0 2 24 0 0 1 10
Angiari VR 3 45.219167 11.284167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Arcole VR 4 45.358333 11.282500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 8 8 0 0 8 8 0 0 8 8 0 0 8 8
BadiaCalavena VR 5 45.565000 11.157778 2 34 1 10 2 34 1 10 2 34 1 10 2 34 2 14 2 34 2 14 1 14 2 14 1 14 2 14 1 14 2 11 1 14 2 14 1 16 1 6 1 17 1 6 1 17 1 6 1 17 2 31 1 17 2 29
Bardolino VR 6 45.550556 10.723611 54 2998 39 11293 57 3288 40 11293 56 3266 40 11301 56 3266 42 11886 55 3240 44 12032 54 3241 48 12048 53 3280 47 11485 48 3149 46 11429 53 3280 49 11500 47 3245 53 11936 59 3727 274 8213 56 3616 258 10405 48 3804 253 10391 48 3789 242 10685
Belfiore VR 7 45.380556 11.209167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Bevilacqua VR 8 45.235000 11.396667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 14 0 0 1 14 0 0
Bonavigo VR 9 45.258056 11.274722 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 9 0 0 0 0 0 0 2 15 0 0 2 16 0 0 2 16 0 0 2 16 0 0 1 7
BoschiSant'Anna VR 10 45.215833 11.348056 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BoscoChiesanuova VR 11 45.623056 11.030278 15 529 15 1640 14 450 13 1612 13 459 14 1610 14 977 182 2163 12 473 237 2578 11 451 21 1242 8 249 21 1242 9 288 21 748 8 249 22 1248 9 294 1628 6450 10 314 206 1641 9 309 190 1474 9 290 187 1417 9 290 1565 6240
Bovolone VR 12 45.258889 11.120556 4 125 0 0 4 129 0 0 4 128 0 0 3 115 0 0 3 115 0 0 3 115 0 0 3 114 0 0 3 114 0 0 3 114 0 0 3 180 0 0 3 180 0 0 3 180 0 0 3 175 0 0 3 175 0 0
BrentinoBelluno VR 13 45.656111 10.891667 2 41 0 0 2 41 0 0 2 41 0 0 2 41 0 0 1 40 0 0 2 54 1 6 2 54 1 6 2 54 1 6 2 54 1 6 2 54 1 6 2 54 5 105 2 54 5 105 2 66 5 105 2 46 6 113
