IDcom ycom xcom
1 45.555000 10.776944
2 45.319167 11.274444
3 45.219167 11.284167
4 45.358333 11.282500
5 45.565000 11.157778
6 45.550556 10.723611
7 45.380556 11.209167
8 45.235000 11.396667
9 45.258056 11.274722
10 45.215833 11.348056
11 45.623056 11.030278
12 45.258889 11.120556
13 45.656111 10.891667
14 45.708611 10.767778
15 45.473889 10.851944
16 45.343333 11.000000
17 45.411111 11.184722
18 45.606944 10.796389
19 45.172500 11.196944
20 45.120278 11.409722
21 45.357222 10.958611
22 45.442222 10.761944
23 45.542500 10.770556
24 45.475000 11.205278
25 45.196389 11.211944
26 45.575278 11.041944
27 45.310833 11.383056
28 45.434167 11.192500
29 45.208889 11.139444
30 45.588889 10.743333
31 45.601111 10.853333
32 45.240833 10.970000
33 45.641111 11.001111
34 45.677778 10.854722
35 45.544444 10.883611
36 45.576667 10.708611
37 45.143056 11.104444
38 45.520833 11.018333
39 45.469444 11.181667
40 45.273611 11.006389
41 45.292500 11.199722
42 45.442500 11.131944
43 45.506667 10.734444
44 45.193333 11.310833
45 45.763611 10.809722
46 45.558056 10.917778
47 45.483333 11.127778
48 45.241389 11.339167
49 45.486389 11.254444
50 45.423333 11.286389
51 45.309722 10.818333
52 45.532500 10.938611
53 45.179722 11.061667
54 45.293611 10.880000
55 45.307778 11.181389
56 45.325556 11.154444
57 45.492778 10.802778
58 45.484167 10.868333
59 45.438889 10.694722
60 45.347222 10.882222
61 45.285833 11.402222
62 45.572500 10.813333
63 45.481389 11.291667
64 45.336944 11.248056
65 45.273056 11.248333
66 45.274167 11.443333
67 45.594167 11.066389
68 45.243889 11.084722
69 45.396944 11.271389
70 45.525556 11.237222
71 45.384444 11.045556
72 45.182500 11.151667
73 45.423611 11.094722
74 45.566667 11.113611
75 45.243889 11.228611
76 45.515556 10.879167
77 45.525000 10.838333
78 45.628333 10.952500
79 45.640000 10.733333
80 45.612500 11.139722
81 45.423056 11.248889
82 45.408056 10.845556
83 45.434444 10.833611
84 45.213889 10.979444
85 45.175278 11.398056
86 45.610278 10.687500
87 45.515000 11.167222
88 45.269722 10.933611
89 45.354722 10.736667
90 45.606111 11.096111
91 45.444444 10.998889
92 45.321944 11.325000
93 45.575278 11.227222
94 45.317500 10.941667
95 45.158889 11.352222
96 45.353333 10.846389
97 45.377222 11.136389
98 45.365278 11.341389
99 45.32555556 11.58722222
100 45.35861111 11.58555556
101 45.36666667 11.42916667
102 45.50944444 11.47138889
103 45.61583333 11.25111111
104 45.4975 11.5525
105 45.80416667 11.35166667
106 45.52166667 11.33388889
107 45.87555556 11.50916667
108 45.305 11.44666667
109 45.41166667 11.54083333
110 45.76638889 11.73694444
111 45.60361111 11.62333333
112 45.70888889 11.56305556
113 45.4725 11.46027778
114 45.645 11.63305556
115 45.58972222 11.36555556
116 45.61194444 11.50194444
117 45.77055556 11.465
118 45.76611111 11.51222222
119 45.52416667 11.71416667
120 45.33833333 11.54055556
121 45.82944444 11.69972222
122 45.74972222 11.46
123 45.71472222 11.69833333
124 45.73305556 11.79361111
125 45.43888889 11.6
126 45.58611111 11.395
127 45.54583333 11.27916667
128 45.76416667 11.46472222
129 45.92055556 11.73305556
130 45.78944444 11.42083333
131 45.80166667 11.60916667
132 45.61444444 11.345
133 45.58416667 11.48305556
134 45.53638889 11.47416667
135 45.62083333 11.22611111
136 45.63638889 11.54972222
137 45.94166667 11.70694444
138 45.74305556 11.5475
139 45.8975 11.63027778
140 45.89194444 11.54722222
141 45.46305556 11.33777778
142 45.58916667 11.43888889
143 45.42444444 11.455
144 45.47638889 11.70055556
145 45.5175 11.65916667
146 45.63027778 11.44194444
147 45.825 11.27305556
148 45.91611111 11.27111111
149 45.48 11.60944444
150 45.38777778 11.38888889
151 45.755 11.52305556
152 45.78583333 11.57444444
153 45.65777778 11.40583333
154 45.69333333 11.43027778
155 45.74805556 11.65611111
156 45.71944444 11.60888889
157 45.735 11.61333333
158 45.45861111 11.38611111
159 45.50638889 11.41027778
160 45.665 11.56055556
161 45.66138889 11.36305556
162 45.44527778 11.67944444
163 45.43666667 11.67527778
164 45.56166667 11.45833333
165 45.59555556 11.58583333
166 45.49027778 11.36277778
167 45.42083333 11.55527778
168 45.78416667 11.80361111
169 45.42527778 11.59361111
170 45.56055556 11.28833333
171 45.72666667 11.67916667
172 45.29138889 11.54
173 45.35222222 11.46638889
174 45.91027778 11.30972222
175 45.74166667 11.6275
176 45.76166667 11.43055556
177 45.29055556 11.50138889
178 45.79222222 11.26194444
179 45.80166667 11.72888889
180 45.64972222 11.68
181 45.57416667 11.62611111
182 45.70638889 11.225
183 45.86555556 11.47416667
184 45.78 11.77083333
185 45.72444444 11.76472222
186 45.70694444 11.80333333
187 45.86583333 11.40138889
188 45.76027778 11.565
189 45.66166667 11.60361111
190 45.40222222 11.47666667
191 45.84194444 11.69
192 45.58861111 11.25777778
193 45.73916667 11.39027778
194 45.68333333 11.37638889
195 45.70944444 11.52722222
196 45.40777778 11.4075
197 45.69861111 11.64472222
198 45.71527778 11.36166667
199 45.81527778 11.72138889
200 45.35888889 11.50972222
201 45.52944444 11.4475
202 45.685 11.70361111
203 45.70888889 11.47805556
204 45.85833333 11.34611111
205 45.71888889 11.31138889
206 45.52138889 11.61694444
207 45.56888889 11.36972222
208 45.64722222 11.3
209 45.88583333 11.36361111
210 45.74111111 11.26111111
211 45.86166667 11.65666667
212 45.78972222 11.36666667
213 45.54972222 11.54861111
214 45.40388889 11.53361111
215 45.65194444 11.49166667
216 45.72305556 11.45805556
217 45.47694444 11.37
218 45.42944444 11.50305556
219 45.73583333 11.52111111
220 46.282500 12.034167
221 45.909444 11.910278
222 46.408611 12.019722
223 45.983333 11.756667
224 46.554167 12.437778
225 46.141389 12.214444
226 46.438611 12.219444
227 46.450278 12.380556
228 46.287778 12.308611
229 46.355278 11.968056
230 46.089167 11.990000
231 46.173333 12.387500
232 46.390556 12.285833
233 46.447778 12.015278
234 46.594167 12.513333
235 46.538889 12.136944
236 46.569444 12.520833
237 46.463333 12.416111
238 46.356111 11.859722
239 46.123333 12.357778
240 46.022778 11.906389
241 46.022500 11.798889
242 46.360556 11.915833
243 46.346389 12.176111
244 46.222778 11.954167
245 46.050833 11.748056
246 46.283056 12.067500
247 46.046667 12.021111
248 46.100000 12.183611
249 46.483056 11.955556
250 46.270833 12.301111
251 46.481389 12.458333
252 46.486389 12.440833
253 46.061667 12.080278
254 46.332778 12.323611
255 46.045833 11.880833
256 46.398333 12.356667
257 46.168611 12.352222
258 46.432778 12.374722
259 46.175278 12.302222
260 46.144167 12.363056
261 45.922500 11.932222
262 46.258889 12.026944
263 46.435278 11.977778
264 46.105556 12.024722
265 46.583611 12.526944
266 46.573333 12.586667
267 46.085833 12.041944
268 46.381944 11.975278
269 46.559722 12.550278
270 46.465556 12.204444
271 46.566111 12.678333
272 46.111667 12.098333
273 46.452500 12.035278
274 45.989167 11.846389
275 46.144167 12.074167
276 46.206389 12.303056
277 46.062500 11.786389
278 46.300556 12.011111
279 46.130833 12.423611
280 46.074722 12.131111
281 46.371111 11.931111
282 46.420556 12.336111
283 45.940000 11.938333
284 46.500278 12.472222
285 46.420000 12.246667
286 46.274722 12.005556
287 46.376389 12.127500
288 46.388611 12.172222
289 45.754444 11.956111
290 45.786389 12.219444
291 45.804167 11.914167
292 45.822222 11.800278
293 45.724444 12.331389
294 45.787500 12.001944
295 45.970833 12.362778
296 45.680556 12.286944
297 45.599167 12.326667
298 45.635556 12.258333
299 45.835556 11.882778
300 45.673056 11.926667
301 45.693889 11.881111
302 45.861111 11.897222
303 45.713333 12.613056
304 45.730278 12.582500
305 45.788056 12.363056
306 45.971667 12.142500
307 45.868889 12.433611
308 45.942500 12.343333
309 45.887222 12.297222
310 45.950833 12.416111
311 45.833056 12.006944
312 45.829444 11.839722
313 45.823889 12.019722
314 45.908056 12.124722
315 45.955000 12.118889
316 45.832222 12.468611
317 45.786111 11.870556
318 46.009722 12.340556
319 45.879722 12.483611
320 45.803333 12.168611
321 45.929722 12.398611
322 45.788333 12.551667
323 45.680278 12.099722
324 45.731111 11.866111
325 45.823611 12.540833
326 45.847500 12.355000
327 45.809444 11.977500
328 45.755556 12.315278
329 45.807500 12.613611
330 45.945833 12.095556
331 45.563056 12.236667
332 45.651944 12.434167
333 45.833056 11.921389
334 45.776667 12.045000
335 45.635833 12.083333
336 45.867222 12.100833
337 45.777222 12.611111
338 45.825833 12.209444
339 45.783333 12.494444
340 45.780556 12.420000
341 45.932500 12.422500
342 45.828056 11.852500
343 45.673056 12.156667
